Titel,Namn,Namn,Tillträdde,Avgick,Parti,Ref
Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet
Försvarsminister,,Peter Hultqvist*,21 januari 2019,9 juli 2021,Socialdemokraterna,[11]
Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet
Socialminister,,Lena Hallengren*,21 januari 2019,9 juli 2021,Socialdemokraterna,[11]
Socialförsäkringsminister,,Annika Strandhäll,21 januari 2019,1 oktober 2019,Socialdemokraterna,[11]
Socialförsäkringsminister,,Ardalan Shekarabi,1 oktober 2019,9 juli 2021,Socialdemokraterna,[11]
Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet
Finansminister,,Magdalena Andersson*,21 januari 2019,9 juli 2021,Socialdemokraterna,[11]
"Finansmarknads- och bostadsminister,biträdande finansminister",,Per Bolund,21 januari 2019,5 februari 2021,Miljöpartiet,[11]
Finansmarknads- och biträdande finansminister,,Åsa Lindhagen,5 februari 2021,9 juli 2021,Miljöpartiet,[14]
Civilminister,,Ardalan Shekarabi,21 januari 2019,1 oktober 2019,Socialdemokraterna,[11]
Civilminister,,Lena Micko,1 oktober 2019,9 juli 2021,Socialdemokraterna,[11]
Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet
Utbildningsminister,,Anna Ekström*,21 januari 2019,9 juli 2021,Socialdemokraterna,[11]
Minister för högre utbildning och forskning,,Matilda Ernkrans,21 januari 2019,9 juli 2021,Socialdemokraterna,[11]
Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet
Miljö- och klimatminister samt vice statsminister¹,,Isabella Lövin*,21 januari 2019,5 februari 2021,Miljöpartiet,[11]
Miljö- och klimatminister samt vice statsminister¹,,Per Bolund*,5 februari 2021,9 juli 2021,Miljöpartiet,[14]
Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet
Näringsminister,,Ibrahim Baylan*,21 januari 2019,9 juli 2021,Socialdemokraterna,[11]
Landsbygdsminister,,Jennie Nilsson,21 januari 2019,30 juni 2021,Socialdemokraterna,[11]
Landsbygdsminister,,Ibrahim Baylan (tf.),30 juni 2021,9 juli 2021,Socialdemokraterna
Infrastrukturminister,,Tomas Eneroth,21 januari 2019,31 mars 2019,Socialdemokraterna,[15]
Energi- och digitaliseringsminister,,Anders Ygeman,21 januari 2019,31 mars 2019,Socialdemokraterna,[15]
Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet
Kultur- och demokratiminister samtminister med ansvar för idrottsfrågorna,,Amanda Lind*,21 januari 2019,9 juli 2021,Miljöpartiet,[11]
Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet
Arbetsmarknadsminister,,Ylva Johansson*,21 januari 2019,10 september 2019,Socialdemokraterna,[11]
Arbetsmarknadsminister,,Eva Nordmark*,10 september 2019,9 juli 2021,Socialdemokraterna
Jämställdhetsminister samtminister med ansvar för arbetet motdiskriminering och segregation,,Åsa Lindhagen,21 januari 2019,5 februari 2021,Miljöpartiet,[11]
"Jämställdhetsminister, bostadsminister samtminister med ansvar för arbetet motdiskriminering och segregation",,Märta Stenevi,5 februari 2021,9 juli 2021,Miljöpartiet,[14]
Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet
Infrastrukturminister,,Tomas Eneroth*,1 april 2019,9 juli 2021,Socialdemokraterna,[15]
Energi- och digitaliseringsminister,,Anders Ygeman,1 april 2019,9 juli 2021,Socialdemokraterna,[15]
